text,sentiment
way plug us unless go converter,0
tied charger conversations lasting problems,0
jiggle plug get line right get decent volume,0
several dozen several hundred contacts imagine fun sending one one,0
needless say wasted money,0
waste money time,0
two seperated mere ft started notice excessive static garbled sound headset,0
design odd ear clip comfortable,0
advise everyone fooled,0
clicks place way makes wonder long mechanism would last,0
went motorola website followed directions could get pair,0
commercials misleading,0
bought mother problem battery,0
think instructions provided helpful,0
people couldnt hear talk pull earphone talk phone,0
hold charge,0
simple little phone use breakage unacceptible,0
unusable moving car freeway speed,0
two years left contract hate phone,0
need least mins get phone book time first turn life short,0
poor talk time performance,0
worthless product,0
impressed product,0
hear garbage audio,0
right mind gon na buy battery,0
arguing verizon regarding dropped calls returned phones two days,0
disappointed battery,0
loud enough turn like,0
disappointed,0
buttons bad,0
essentially forget microsoft tech support,0
buy different phone,0
hold phone particular angle party hear clearly,0
one big drawback player buttons phone front cover let pause skip songs lock seconds,0
week later activated suddenly died,0
mic work,0
even bmw series fairly quiet trouble hearing person saying,0
buy wrongly advertised,0
purchased within days longer working,0
good bargain,0
battery runs quickly,0
item worked great broke months use,0
construction headsets poor,0
product costs much one expect work far better greater ease thing,0
ear buds play music one ear,0
dont waste money,0
plan use car forget,0
found product waaay big,0
disappointed decision,0
buyer beware could flush money right toilet,0
received supposedly new motorola apparently match phone charger,0
huge design flaw unless using correctly think case,0
camera although rated impressive megapixels renders images fall well expectations relatively high resolution,0
purcashed car charger work,0
got phone around end may completely unhappy,0
could get strong enough signal,0
bad quality,0
basically service bad,0
work cell phone plug set charger,0
bt headset disapoinment,0
buyer careful,0
majority logitech earbud headsets failed,0
house getting dropped coverage upstairs coverage basement,0
waste,0
several different minute calls experienced drops area bars,0
happy item,0
disappointed,0
phone takes forever charge like hours literally,0
waste time,0
reception poor,0
items stated included description included,0
months screen went black sudden,0
hoping,0
audio quality poor poor,0
bought wired headphones sound better,0
whine internet use thing less like,0
essentially communications tool communicate,0
still maintain monkeys make headphones obviously share enough dna copy design humans,0
work bougth working,0
last long,0
one thing hate mode set button side,0
thank wasting money,0
audio quality poor,0
put latest os likes slow crawl lock every,0
recognizes phone storage device,0
like loud buzzing override conversations phone,0
buy product,0
bluetoooth headset time still comfortable way fits ear,0
phone thorn side really abhor,0
recently problems could stay connected minutes disconnected,0
design flaw,0
waste bucks,0
check voice mail night keypad backlight turns seconds first message lost,0
replacement died weeks,0
problems wit hit dropping signal,0
impressed,0
bad choice,0
pleather case fit,0
useless phone simply deaf,0
makes strange ticking noises ends call,0
battery lasts hours,0
sending back,0
bother contacting company dollar product learned lesson bought form online anyway,0
hate earbugs avoid phone means,0
also like button felt like would crack use,0
worst phone ever,0
freezes,0
kind embarrassing use looks mostly embarrassing company,0
expected better consumer experience motorola,0
horrible tick sound background calls never experienced,0
bit disappointed,0
phone year tell great,0
ordered sony ericsson think worked thats first used,0
battery completely useless,0
big waste time,0
waste one,0
make mistake,0
big disappointment calendar sync,0
phone unusable new,0
worst customer service ever,0
additional ear gels provided instructions whatsoever,0
defeats purpose bluetooth headset,0
internet excrutiatingly slow,0
product strong smell unbearable caused return,0
poor quality service,0
cable looks thin flimsy scary,0
absolutel junk,0
one work either,0
returned hours later,0
waste money,0
drain player may also potentially fry,0
unreliable giving,0
avoid one,0
wasted little money earpiece,0
first wear well,0
would recommend buying product,0
piece junk,0
poorly contstruct hinge,0
buy,0
purchase phone,0
customer service terrible,0
battery life still long enough motorola razor,0
sending back,0
many people complained found headset microphone weak,0
old nokia tracfone holds charge lot better,0
care consumer one bit,0
instruction manual lacking,0
battery unreliable well service use antena,0
uncomfortable sound quality quite poor compared phone razr previous wired headset plugged lg,0
want money back,0
ordered product first unhappy immediately,0
ngage still lacking earbuds,0
bars cell phone home cant hear anything,0
riingtones best neither games,0
plug work well,0
amazon sucks,0
rip charge shipping,0
long lasting battery recharge frequentyly flip phones,0
obviously problem adhesive,0
disappointing,0
inexpensive piece would still expected better quality,0
practically useless add kind boost reception bought,0
happy,0
piece junk broke phone days,0
worst customer service,0
reception terrible full static,0
sitting vehicle cradle belt headset lost signal,0
jerks phone,0
network coverage los angeles horrible,0
excellent starter wireless headset,0
loudspeaker option great bumpers lights appealing,0
thing think could improve sound leaks headset,0
first reception sucks never bars ever,0
phone gets extremely hot,0
also phone dropped case going save specially dropped face,0
bad fit way big,0
waste money,0
drivng along headset starts ringing reason,0
worst phone ever months,0
good worked started problems auto reverse tape player,0
embarassing also ears hurt try push ear plug ear,0
average phone bad battery life operates weak network,0
soyo technology sucks,0
problem others mentioned,0
worst piece crap ever along verizon customer service,0
poor sound quality,0
picture resolution far phones offering today,0
using earpieces left right thing stay ear,0
still waiting sure item would work ever recieve,0
disappointment,0
waste money time,0
stupid keep buying new chargers car chargers cradles headphones car kits every time new phone comes,0
came verizon cingulair nicer cell phones first thing noticed really bad service,0
looking new earpiece,0
received white colored battery goes dead couple hoursthe original used last week still lasts longer thereplacement,0
year battery went completely dead headset,0
first phone cheaply made,0
att clear sound distorted yell talk,0
plastic breaks really easy clip,0
make mistake,0
oh forgot also mention weird color effect phone,0
also area unit broke fond magnetic strap,0
another note phone appearance really looks rather bland especially black model,0
low quality,0
warning stay away,0
wish could return unit get back money,0
used talk hours battery would literally drained dying,0
find bad unit comes one earpad would recommend anyone,0
displeased,0
might gotten defect would risk buying built quality alone,0
made case small difficult install,0
fit,0
really nothing bad say headset,0
even fully charged went bed turned blue tooth noticed left morning,0
also problems phone reading memory card always turn,0
good wearing hat sunglasses,0
horrible phone,0
battery junk,0
cant get software work computer,0
disappointed,0
poor voice clarity,0
buyers remorse one,0
disappointed accessoryone,0
find inexcusable probably returning phone perhaps changing carriers,0
update procedure difficult cumbersome,0
hate anything goes ear,0
uncomfortable ear use lg env,0
volume switch rocketed unit destination unknown,0
like return,0
verizon bills however difficult understand even though pricing plans simple,0
disappointment,0
user friendly,0
unfortunately ability actually know receiving call rather important feature phone pitiful respect,0
exchanged phone even problem,0
results phone either stuck max volume mute,0
pretty piece junk,0
plug wrong size,0
save money item months,0
bad purchase,0
defective crap,0
would given star able,0
sound quality device really quiet area almost hear nothing,0
would recommend item anyone,0
holster arrived match photo ad,0
earlier review noted plug charger nothing happens,0
never know pushed hard enough right number times function want,0
impressed would recommend item anyone,0
complaint standard sound volume little low even turned,0
really ugly,0
horrible switch times,0
real improvement,0
refuse refund replace,0
unfortunately easy accidentally activate buttons accidentally touch phone face listening,0
basically threw money window nothing,0
took one drop inches kitchen counter impressed laughing,0
none new ones ever quite worked properly,0
missed numerous calls reason,0
perhaps phone defective people hear use,0
buy product,0
sucked stuff work phone,0
worst software ever used could give zero stars would,0
trying make call exercise frustration,0
case flimsy piece plastic front side protection whatsoever,0
give wirefly contact inform practice,0
aggravating,0
none works buy,0
muddy low quality sound casing around wire insert poorly super glued slid,0
please dont waste money,0
looking good quality motorola headset keep looking,0
yet plantronincs continues use flawed charger design,0
disapointing results,0
cumbersome design,0
piece crap,0
experience terrible fourth bluetooth headset much comfortable last jabra hated,0
worst ever,0
barely ever hear constantly saying,0
battery life highly unacceptable,0
company joke,0
due happening every call forced stop using headset,0
verizon tech support walked procedures none worked ended hard wiping data,0
voice quality signal strength dropped calls,0
feels poorly constructed menus difficult navigate buttons recessed difficult push,0
also difficult put recommend avoiding product,0
used two days always easy hear,0
got car charger even week charger broken went plug started smoking,0
sprint terrible customer service,0
possesed get junk idea,0
piece trash,0
real killer volume course breaking,0
poor construction,0
infuriating,0
sprint charges service,0
cheap feel look cheap,0
work europe asia,0
worst phone samsung crap crappy samsung worst ever seeen,0
charger worked week completely stopped charging phone,0
poor product,0
however needed better instructions,0
need two hands operate software interface decade old compete new software designs,0
steer clear product go genuine palm replacementr pens come,0
buy buyit sucks,0
plus seriously believe worth steep price point,0
dissapointing performance,0
make mistake please buy phone,0
phone might well worst ever brand,0
case less extra originally put later discarded scratched ear,0
bother go store,0
get pay guess,0
however bt headsets currently good real time games like shooters since audio delay messes,0
disappointing accessory good manufacturer,0
performed awful muffled tinny incoming sound severe echo end call,0
obviously terrible customer service get pay,0
contacted company told although unit still warranty could produce receipt luck,0
linksys way exchange bad phone refurb unit something,0
placed treo case snug lot extra room sides,0
battery terrible,0
earpiece large heavy keeps falling ear,0
utter sound quality terrible,0
charger arrived within promised timeframe work,0
finally three four times spring latch broke could use longer visor,0
talk useless customer service,0
felt light tinny,0
fit palm tungsten broke first time tried plug,0
could recommend,0
looks good picture case huge disappointment,0
extremely slow takes forever anything,0
must study anyone interested worst sins industrial design,0
first thing happened tracking,0
continue pairing periodically since somehow kept dropping,0
ca upload ringtones third party,0
bluetooth work phone locks screens flash makes calls randomly pocket locked,0
truly awful,0
none tones acceptable,0
camera color balance awful,0
product clearly ready prime time care cool looks ca tell call coming worthless,0
chinese forgeries abound,0
instructions explain microphone jack could used,0
would advise purchase item never worked well,0
bad pay month service,0
nokia usb cable work phone,0
biggest complaint battery drains superfast,0
design might ergonomic theory could stand ear,0
buy want use holster,0
make look cool,0
also phone seem accept anything except cbr preferably ripped windows media player,0
beware,0
anyone near hear part conversation,0
bought phone replacement startac regretted since,0
ca store anything phone numbers sim,0
lasts less minutes actually try use wife phone problem,0
poor quality,0
worth,0
phone crashed completely get replaced,0
unfortunately recharge iphone despite connecting multiple power sources imac external battery wall outlet etc,0
simply want small flip phone look elsewhere extra bells whistles mediocre,0
think plan one sure last moto phone,0
receiving using product days broke,0
none three sizes sent headset would stay ears,0
tried units failed within pros,0
could use unit sunglasses good texas,0
dit work time nokia,0
bought mainly charger broke soon purchasing,0
like loud buzzing override conversations phone,0
stay away store careful,0
fit,0
disappointing,0
camera phone may used dustpan indoors rather using disposable,0
days later puff smoke came phone use,0
nano stated son dissapointed,0
would reccommend,0
particular model would work motorola q smartphone,0
wont work right atleast,0
addition feels amp looks phone lightweight cheap plastic,0
warranty problems line put money somewhere else cingular support,0
really wanted plantronics right one many issues good,0
first charge kept going dead minutes,0
cheap plastic creaks like old wooden floor,0
get absolutely horrible reception apartment phones problem,0
phone got year old slowly breaking despite much care part,0
sorry made purchase,0
bought hoping could make bluetooth headset fit better things made impossible wear,0
treo refused replace forced buy another phone without kind upgrade discount,0
horrible,0
think would hold securly belt,0
allows possibility double booking date time first,0
work weeks break,0
ca use case smell disgusting,0
wanted,0
internet access fine rare instance worked,0
drain,0
tried talking real loud shouting telephone gets old still told great,0
wind completely useless,0
work,0
first thought grtting good deal plugged phone razr,0
improper description return,0
battery life,0
checked everywhere feature really disappointing,0
job,0
awkward use unreliable,0
good hoped,0
work,0
unfortunately work,0
three broke within two months use,0
dont buy,0
father battery dying,0
however ear pads come easily one week lost one,0
calls drop phone comes screen goes black worst stops ringing intermittently,0
horrible horrible protector,0
like nokia either,0
reaching bottom row uncomfortable send end keys expect,0
bought nokia cell phone weeks ago nightmare,0
would take long describe bad customer service experience amazon,0
disappointing thing speakerphone,0
car accept cassette,0
product useless since enough charging current charge cellphones planning use,0
says,0
stay away q,0
used dirty,0
unreliable service,0
good enough price,0
bought two neither charge,0
products cover important light sensor ear outlet,0
work,0
poor reliability,0
take picture battery drops bar starts beeping letting know dieing,0
terrible product waste money,0
last time buying,0
waste money,0
item received counterfeit,0
far worst purchase made amazon,0
work listening music cingular,0
bottowm line another worthless cheap gimmick sprint,0
trouble volume,0
warning buy,0
opens battery connection broken device turned,0
want clip going top ear causing discomfort,0
trust website expect helpful support,0
speaker low quality making ring tones sound cheap,0
bad reception,0
product high quality chinese crap,0
buy product fails,0
everything product,0
utterly confusing first caused lose couple important contacts,0
terrible phone holder,0
problem ear loops made weak material break easily,0
nearly good looking amazon picture makes look,0
stupid,0
always cuts makes beep beep beep sound says signal failed,0
could figure,0
phone sounded ok great ok wife phone almost totally unintelligible could understand word said,0
take battery phone put back together restart,0
managed bend leaf spring back place metal enough stress break next drop,0
saggy floppy piece junk,0
also new problem,0
looses connection phone even within couple feet two,0
makes easier keep bluetooth wearing,0
said useless,0
never got,0
pair headphones worst ever,0
drain weak snap,0
charge cingular att phone,0
however year fliptop started get loose wobbly eventually screen went black could receive place calls,0
kept catching cable seat pull phone turn,0
mic joke volume quite low,0
returning,0
maintain connection computer lap,0
purchase different case,0
much disappointed company,0
charge,0
buttons small,0
however keypads tinny sometimes reach wrong buttons,0
make calls certain places,0
however girl complain time phone wake like normal phone,0
company charge restocking fee still given refund back,0
trying return refund,0
plugged find darn thing worked,0
earbud piece breaks easily,0
lousy product,0
phone tries hard everything fails ability phone,0
enough volume,0
echo problem unsatisfactory,0
could take videos time quality poor,0
waste money,0
going first negatively review product,0
adapter provide enough charging current,0
much hype phone assumed best mistake,0
also take pictures case lense covered,0
phone falls easily,0
work people hear talk,0
text messaging feature really tricky use,0
really disappointed charger work,0
painful ear,0
lasted one day blew,0
disappointed,0
kind flops around,0
screen get smudged easily touches ear face,0
piece lose calls phone,0
item match picture,0
thing disappoint infra red port irda,0
answer calls unit never worked,0
imi posts drop organic revenue warns full year,0
barclays bank chief step,0
barclays share price subdued bank faces fresh forex probe,0
jim armitage spare tears glencore bosses paying small price,0
barclays deutsche bank fight lift profit got harder,0
diageo sales disappoint currency comparatives leave bitter taste,0
smith nephew recalls components,0
tesco torn apart watchdog finds supermarket repeatedly withheld payments suppliers,0
trouble brewing legal general group plc aviva plc,0
update reports worst annual loss least years cuts jobs,0
l g still paying price dividend cut crisis chief says,0
kingfisher takeover mr bricolage could hit brick wall,0
barclays credit suisse strike record deals sec ny dark pools,0
bhp billiton posts big loss slashes dividend,0
reaching new depths glencore loss,0
investors move bln euros assets axa fund arm,0
rbs barclays shares temporarily suspended amid heavily losses,0
bp sees earnings slide low oil prices take toll,0
update flotilla protests shell arctic drilling plans,0
petrofac books cost shetland gas terminal delays,0
suspends workers uk youth centre allegations unnecessary force,0
osborne extends lloyds plan,0
update crest loses third morrisons milk contract,0
world banks may halve jobs branches within years barclays,0
aviva suspends trading uk property fund,0
barclays speed new hit,0
hsbc hit fresh details tax evasion claims,0
stanchart rbs struggle bank england stress tests,0
astrazeneca suffers setback drug fails treat eye cancer,0
news feedftse movers standard chartered lifted astrazeneca sinks,0
unilever continues battle soft demand,0
rbs warns higher misconduct charges obstacles ahead,0
standard life slips greek worries peg back britain ftse,0
fca bans former rbs libor submitter,0
sale tesco clubcard business wpp verge collapse,0
uk osborne may sell rbs shares loss,0
aviva g suspend property funds investors panic,0
british american tobacco drops sues pwc pollution scandal,0
aberdeen shares slide net outflows accelerate,0
france raises concerns proposed boerse deal,0
bunzl blames weakness united states revenue slowdown,0
tesco criticised advert showing domestic worker slapped,0
city spirits sink diageo comes short sales slide,0
italy probes shell role purchase nigerian oil block,0
shropshire mid wales trains hit new strike arriva drivers,0
ab inbev latest bid said unlikely win sabmiller approval,0
pearson cut jobs warns profits,0
intertek hit pound strength oil gas slowdown still ups dividend,0
glencore slashes capex budget annual profits slip,0
marketsus industrials lag barclays dims view,0
us doj antitrust unit subpoenas mylan pricing doxycycline,0
verizon accused hurting rivals,0
hargreaves landown slides trading update,0
sainsbury asda tesco morrisons cut petrol prices oil falls,0
four former barclays bankers jailed libor,0
tesco cut junk moody concern revival take time,0
oil giant shell cut around jobs amid bg takeover,0
uk christmas power demand lowest years national grid,0
tesco made bit crucial error promotion ramadan,0
falling oil prices hurt hunting weir group,0
fca set fine lloyds record ppi,0
rbs barclays shares temporarily suspended amid heavily losses,0
astrazeneca diabetes drug combination faces delay fda rebuff,0
companiesaberdeen asset mgt reports consecutive quarterly outflows,0
companiescentrica shares drop amid capital raise,0
miners meltdown bhp rio tinto sink commodities rout,0
aberdeen posts outflows says conditions remain challenging,0
tesco pay settle lawsuit accounting scandal,0
former aviva investors analyst mothahir miah banned fined fca,0
update posts net loss hurt shetland islands project costs,0
companiesmorrison evicted ftse worldpay joins,0
london midday briefing kingfisher french expansion hits rocks,0
sse faces profiteering accusations despite cut gas charges,0
update rbs must pay mln mortgage bond judge,0
militants fire rockets algerian gas plant casualties,0
shell lay another staff,0
ao world shares tumble profit warning,0
aggreko profit declines quick facts,0
pearson lags uk ftse slips record high,0
rbs share price group plans slash jobs,0
bp pay investors gulf spill claims,0
fewer hurt sainsbury market share,0
astrazeneca profit sales stalwarts fade,0
fastjet slams easyjet founder stelios going public taking legal advice letter contractual,0
failure leadership behind tesco troubles says former ceo leahy,0
bp ends sponsorship tate falling oil price takes toll,0
royal dutch shell pulls plug arctic exploration,0
reed elsevier shares cool profit dip,0
cftc fines barclays inaccurate swaps position reports,0
tesco asda sales fall march discounters continues kantar,0
bp cuts capex third time year deal weak oil,0
sainsbury chief warns squeeze high street retailers,0
us sanctions put alliance plans jeopardy,0
